BS_Overlay,0
Device_Count,1
Device_Index,0
Device_SN,F12N0435
Pixel_Count,512
Integration_Time(us),20
Case_Temperature,23.29
Sensor_Temperature,24.05
Pixel_Reverse,0
WL_Unit,nm
Pwr_Unit,Count
Substract_Background,Yes
Peak_Search_Mode,Profile
Noise_Threshold,2000
Average_Number,1
Data_Count,512
WL,Power
1508.298,653.853
1508.448,454.105
1508.597,510.964
1508.745,508.332
1508.897,496.252
1509.077,486.477
1509.257,413.982
1509.431,434.449
1509.605,405.470
1509.782,431.156
1509.957,385.922
1510.131,395.629
1510.306,385.637
1510.483,377.907
1510.655,365.819
1510.831,359.977
1511.006,306.410
1511.178,342.472
1511.352,305.817
1511.529,298.816
1511.702,259.303
1511.877,287.473
1512.051,286.177
1512.225,286.394
1512.400,256.945
1512.575,273.634
1512.748,230.404
1512.921,258.444
1513.095,245.095
1513.270,249.483
1513.443,229.479
1513.616,270.805
1513.790,233.299
1513.965,278.256
1514.138,226.246
1514.311,255.573
1514.486,253.540
1514.659,258.511
1514.830,285.344
1515.003,312.891
1515.176,273.271
1515.349,255.013
1515.522,275.141
1515.696,314.192
1515.869,287.768
1516.042,316.184
1516.215,311.221
1516.389,318.028
1516.561,339.964
1516.733,299.492
1516.906,290.123
1517.078,258.741
1517.251,287.670
1517.425,284.282
1517.596,287.304
1517.768,279.365
1517.942,290.407
1518.114,279.420
1518.286,276.308
1518.458,269.963
1518.630,297.585
1518.802,313.366
1518.974,256.734
1519.146,326.178
1519.318,320.038
1519.490,357.731
1519.662,451.867
1519.834,1172.956
1520.006,4288.350
1520.178,5213.235
1520.349,1764.553
1520.519,679.748
1520.691,295.745
1520.863,207.919
1521.034,163.501
1521.205,204.705
1521.377,208.519
1521.549,202.856
1521.719,195.908
1521.891,173.547
1522.063,193.906
1522.234,249.296
1522.404,146.797
1522.575,145.643
1522.746,90.343
1522.916,130.915
1523.088,114.269
1523.258,87.912
1523.429,97.921
1523.600,46.324
1523.770,7.915
1523.941,64.222
1524.111,59.214
1524.281,94.505
1524.452,223.949
1524.622,455.833
1524.793,2244.424
1524.964,7717.944
1525.133,4918.649
1525.304,1006.454
1525.474,468.466
1525.645,193.885
1525.814,143.740
1525.982,135.916
1526.152,102.871
1526.322,96.982
1526.492,113.391
1526.662,101.152
1526.832,102.896
1527.002,69.854
1527.171,124.969
1527.341,76.274
1527.511,140.540
1527.680,90.900
1527.849,110.485
1528.018,70.248
